timestamp,fx,fy,fz,tx,ty,tz,frequency
1748227317.991862,0.13,0.0,0.04,-0.0,0.0,-0.0,100
1748227318.00772,0.13,0.0,-0.01,-0.0,0.0,-0.0,100
1748227318.023577,0.1,-0.05,-0.04,-0.0,0.0,0.0,99
1748227318.0238829,0.09,-0.05,-0.02,-0.0,0.0,0.0,100
1748227318.0397468,0.08,-0.05,-0.01,-0.0,0.0,-0.0,100
1748227318.0555675,0.11,-0.08,-0.01,-0.0,0.0,0.0,99
1748227318.0558846,0.14,-0.04,-0.01,-0.0,0.0,0.0,100
1748227318.0716374,0.11,-0.01,-0.02,-0.0,0.0,0.0,99
1748227318.071944,0.09,-0.02,-0.03,-0.0,0.01,-0.0,100
1748227318.087716,0.08,-0.02,-0.03,-0.0,0.01,-0.0,100
1748227318.1037097,0.08,-0.02,-0.03,-0.0,0.01,-0.0,99
1748227318.104021,0.09,-0.02,-0.02,-0.0,0.0,-0.0,100
1748227318.1197248,0.1,-0.01,-0.01,-0.0,0.0,-0.0,100
1748227318.1357038,0.12,-0.01,-0.04,-0.0,0.0,-0.0,99
1748227318.1360185,0.11,0.0,-0.04,-0.0,0.0,-0.0,100
1748227318.1517222,0.08,-0.01,-0.04,-0.0,0.0,0.0,99
1748227318.1520176,0.06,-0.06,-0.05,-0.0,0.01,0.0,100
1748227318.1678662,0.08,-0.05,-0.03,-0.0,0.0,-0.0,100
1748227318.183703,0.14,0.05,-0.01,-0.0,0.0,-0.0,99
1748227318.184011,0.15,0.05,-0.01,0.0,0.0,-0.0,100
1748227318.1997924,0.11,0.01,-0.02,-0.0,0.0,0.0,100
1748227318.2157454,0.09,0.01,-0.02,-0.0,0.0,0.0,99
1748227318.216051,0.09,0.0,-0.01,-0.0,0.0,-0.0,100
1748227318.2316496,0.13,-0.04,0.04,-0.0,0.0,-0.0,99
1748227318.2319517,0.13,-0.04,0.04,-0.0,0.0,-0.0,100
1748227318.2479153,0.12,-0.02,0.03,-0.0,0.0,-0.0,100
1748227318.2636116,0.11,-0.01,0.02,-0.0,0.0,0.0,99
1748227318.2639031,0.06,0.02,-0.02,-0.0,0.01,0.0,100
1748227318.2796874,0.03,-0.04,-0.03,-0.0,0.01,-0.0,100
1748227318.2956333,0.11,-0.1,-0.04,-0.0,0.0,-0.0,99
1748227318.295895,0.15,-0.05,-0.03,-0.0,0.0,-0.0,100
1748227318.3115351,0.13,-0.03,-0.01,0.0,0.0,-0.0,100
1748227318.3117602,0.12,-0.04,-0.03,0.0,0.0,-0.0,100
1748227318.3276465,0.14,-0.06,-0.05,-0.0,0.0,-0.0,100
1748227318.3436358,0.15,-0.05,-0.04,-0.0,0.0,-0.0,99
1748227318.3438785,0.12,-0.02,-0.04,-0.0,0.0,-0.0,100
1748227318.3596315,0.08,-0.05,-0.02,-0.0,0.0,-0.0,100
1748227318.3755844,0.07,-0.03,0.02,-0.0,0.0,-0.0,99
1748227318.375795,0.12,0.01,0.02,-0.0,0.0,0.0,100
1748227318.3916621,0.14,0.0,0.06,-0.0,0.0,0.0,100
1748227318.4075549,0.1,-0.06,0.07,-0.0,0.0,0.0,99
1748227318.4077775,0.09,-0.05,0.01,-0.0,0.0,0.0,100
1748227318.4235737,0.14,0.06,0.0,0.0,0.0,-0.0,99
1748227318.4237823,0.14,0.06,-0.01,-0.0,0.0,-0.0,100
1748227318.4398484,0.07,-0.04,-0.02,-0.0,0.0,-0.0,100
1748227318.455768,0.0,0.03,-0.06,-0.0,0.01,0.0,99
1748227318.4560719,0.05,0.1,-0.06,-0.0,0.01,0.0,100
1748227318.4718378,0.13,0.01,0.04,-0.0,0.0,0.0,100
1748227318.487723,0.19,0.06,0.08,0.0,0.0,0.0,99
1748227318.488052,0.22,0.05,0.08,0.0,-0.0,0.0,100
1748227318.5037978,0.17,-0.01,0.06,0.0,-0.0,0.0,99
1748227318.5041206,0.13,0.02,-0.01,-0.0,0.0,0.0,100
1748227318.5198946,0.13,0.02,-0.02,-0.0,0.0,0.0,100
1748227318.5358465,0.1,0.06,-0.06,0.0,0.0,-0.0,99
1748227318.5361488,0.08,0.07,-0.08,0.0,0.0,-0.0,100
1748227318.5518606,0.08,0.03,-0.07,-0.0,0.0,-0.0,100
1748227318.5677574,0.12,0.03,-0.06,-0.0,0.0,0.0,99
1748227318.56808,0.1,0.06,0.0,-0.0,0.0,0.0,100
1748227318.5838385,0.07,0.05,0.0,-0.0,0.0,-0.0,99
1748227318.5841367,0.1,0.01,-0.03,-0.0,0.0,-0.0,100
